pts,frame_type,source,confidence,cx,cy,w,h
91648,B,PROP,0.92,4.070512962962962,4.302265625,2.2253000000000003,5.215000000000001
92672,B,PROP,0.92,3.143362962962963,4.323819791666666,2.8895999999999997,5.0505
93184,B,PROP,0.92,3.1579462962962963,4.361189583333332,2.8895999999999997,5.0505
94208,B,PROP,0.92,3.1854925925925928,4.4687416666666655,2.8895999999999997,5.0505
94720,B,PROP,0.92,3.1968351851851855,4.47475,2.8895999999999997,5.0505
95744,B,PROP,0.92,3.2308629629629633,4.47475,2.8895999999999997,5.0505
96256,B,PROP,0.92,3.2535481481481483,4.47475,2.8895999999999997,5.0505
97280,B,PROP,0.92,3.2859555555555557,4.453786458333333,2.8895999999999997,5.0505
97792,B,PROP,0.92,3.300538888888889,4.432822916666667,2.8895999999999997,5.0505
98816,B,PROP,0.92,3.3135018518518518,4.405479166666667,2.8895999999999997,5.0505
99328,B,PROP,0.92,3.3135018518518518,4.398187500000001,2.8895999999999997,5.0505
100352,B,PROP,0.92,3.310261111111111,4.368109375,2.8895999999999997,5.0505
100864,B,PROP,0.92,3.3054,4.358083333333334,2.8895999999999997,5.0505
101888,B,PROP,0.92,3.287575925925926,4.360817708333334,2.8895999999999997,5.0505
102400,B,PROP,0.92,3.2794740740740744,4.3754010416666675,2.8895999999999997,5.0505
103424,B,PROP,0.92,3.266511111111112,4.386338541666667,2.8895999999999997,5.0505
103936,B,PROP,0.92,3.255168518518519,4.47475,2.8895999999999997,5.0505
104960,B,PROP,0.92,3.2308629629629633,4.440114583333334,2.8895999999999997,5.0505
105472,B,PROP,0.92,3.224381481481482,4.47475,2.8895999999999997,5.0505
106496,B,PROP,0.92,3.21465925925926,4.47475,2.8895999999999997,5.0505
107008,B,PROP,0.92,3.209798148148149,4.47475,2.8895999999999997,5.0505
108032,B,PROP,0.92,3.050638888888889,3.9527541666666672,2.1588000000000003,3.5434
108544,B,PROP,0.92,3.0490185185185186,3.9472854166666673,2.1588000000000003,3.5434
109568,B,PROP,0.92,3.0376759259259263,3.9336135416666673,2.1588000000000003,3.5434
110080,B,PROP,0.92,3.036055555555556,3.9199416666666673,2.1588000000000003,3.5434
111104,B,PROP,0.92,3.0344351851851856,3.8971552083333343,2.1588000000000003,3.5434
111616,B,PROP,0.92,3.036055555555556,3.893509375000001,2.1588000000000003,3.5434
112640,B,PROP,0.92,3.0636018518518524,3.9053583333333344,2.1588000000000003,3.5434
113152,B,PROP,0.92,3.079805555555556,3.912650000000001,2.1588000000000003,3.5434
114176,B,PROP,0.92,3.108972222222223,3.9327020833333344,2.1588000000000003,3.5434
114688,B,PROP,0.92,3.1235555555555563,3.9427281250000012,2.1588000000000003,3.5434
