pts,frame_type,source,confidence,cx,cy,w,h
49152,P,PROP,0.92,3.3199574074074074,3.9683291666666665,1.9949999999999999,3.4859999999999998
50688,P,PROP,0.92,3.3296796296296294,3.9063499999999998,1.9949999999999999,3.4859999999999998
52224,P,PROP,0.92,3.3620870370370364,3.8589541666666665,1.9949999999999999,3.4859999999999998
53760,P,PROP,0.92,3.435003703703703,3.822495833333333,1.9949999999999999,3.4859999999999998
55296,P,PROP,0.92,3.4771333333333327,3.8516624999999993,1.9949999999999999,3.4859999999999998
56832,P,PROP,0.92,3.5289851851851846,3.8717145833333326,1.9949999999999999,3.4859999999999998
58368,P,PROP,0.92,3.5678740740740733,3.895412499999999,1.9949999999999999,3.4859999999999998
59904,P,PROP,0.92,3.592179629629629,3.8908552083333325,1.9949999999999999,3.4859999999999998
62976,P,PROP,0.92,3.018412962962963,3.9913635416666664,2.5116,4.4197999999999995
64512,P,PROP,0.92,2.976283333333333,3.9093322916666664,2.5116,4.4197999999999995
66048,P,PROP,0.92,2.9357740740740734,3.916623958333333,2.5116,4.4197999999999995
67584,P,PROP,0.92,2.8823018518518513,3.909332291666667,2.5116,4.4197999999999995
69120,P,PROP,0.92,2.836931481481481,3.9448791666666665,2.5116,4.4197999999999995
70656,P,PROP,0.92,2.823968518518518,3.92665,2.5116,4.4197999999999995
72192,P,PROP,0.92,2.7607740740740736,3.8746968749999997,2.5116,4.4197999999999995
73728,P,PROP,0.92,2.697579629629629,3.8637593749999994,2.5116,4.4197999999999995
75264,P,PROP,0.92,2.5112370370370365,3.8993062499999995,2.5116,4.4197999999999995
78336,P,PROP,0.92,3.755577777777778,4.2096687500000005,2.4640000000000004,5.5678
79872,P,PROP,0.92,3.869003703703704,4.2161,2.4640000000000004,5.5678
81408,P,PROP,0.92,3.9321981481481485,4.0082875,2.4640000000000004,5.5678
82944,P,PROP,0.92,3.9095129629629635,4.027428125,2.4640000000000004,5.5678
84480,P,PROP,0.92,3.841457407407408,4.211542708333333,2.4640000000000004,5.5678
86016,P,PROP,0.92,3.7377537037037043,4.214277083333333,2.4640000000000004,5.5678
87552,P,PROP,0.92,3.726411111111112,4.190579166666667,2.4640000000000004,5.5678
89088,P,PROP,0.92,3.6940037037037046,4.142271875,2.4640000000000004,5.5678
90624,P,PROP,0.92,3.702105555555556,4.089407291666666,2.4640000000000004,5.5678
93696,P,PROP,0.92,3.6159925925925926,4.319962500000001,3.2067,5.315799999999999
95232,P,PROP,0.92,3.640298148148148,4.3421,3.2067,5.315799999999999
96768,P,PROP,0.92,3.6905296296296295,4.3421,3.2067,5.315799999999999
98304,P,PROP,0.92,3.7359,4.3421,3.2067,5.315799999999999
99840,P,PROP,0.92,3.763446296296296,4.290146875,3.2067,5.315799999999999
101376,P,PROP,0.92,3.7747888888888883,4.240928124999999,3.2067,5.315799999999999
102912,P,PROP,0.92,3.7699277777777773,4.206292708333333,3.2067,5.315799999999999
104448,P,PROP,0.92,3.763446296296296,4.270094791666666,3.2067,5.315799999999999
105984,P,PROP,0.92,3.753724074074074,4.3421,3.2067,5.315799999999999
109056,P,PROP,0.92,3.4442203703703704,4.113389583333334,2.3491999999999997,3.8311
110592,P,PROP,0.92,3.4442203703703704,4.092426041666667,2.3491999999999997,3.8311
112128,P,PROP,0.92,3.460424074074074,4.066905208333335,2.3491999999999997,3.8311
113664,P,PROP,0.92,3.497692592592593,4.042295833333335,2.3491999999999997,3.8311
115200,P,PROP,0.92,3.5382018518518525,4.0550562500000025,2.3491999999999997,3.8311
116736,P,PROP,0.92,3.5803314814814824,4.084222916666668,2.3491999999999997,3.8311
118272,P,PROP,0.92,3.601396296296297,4.157139583333335,2.3491999999999997,3.8311
119808,P,PROP,0.92,3.6030166666666674,4.190863541666669,2.3491999999999997,3.8311
121344,P,PROP,0.92,3.5981555555555564,4.188129166666669,2.3491999999999997,3.8311
124416,P,PROP,0.92,3.282040740740741,3.8918322916666668,1.5932000000000002,2.9715000000000003
125952,P,PROP,0.92,3.2852814814814812,3.9127958333333335,1.5932000000000002,2.9715000000000003
127488,P,PROP,0.92,3.267457407407407,3.940139583333333,1.5932000000000002,2.9715000000000003
129024,P,PROP,0.92,3.267457407407407,3.998472916666666,1.5932000000000002,2.9715000000000003
130560,P,PROP,0.92,3.2480129629629624,4.009410416666666,1.5932000000000002,2.9715000000000003
132096,P,PROP,0.92,3.220466666666666,3.9920927083333333,1.5932000000000002,2.9715000000000003
133632,P,PROP,0.92,3.201022222222222,3.9711291666666666,1.5932000000000002,2.9715000000000003
135168,P,PROP,0.92,3.2253277777777773,3.9647489583333333,1.5932000000000002,2.9715000000000003
136704,P,PROP,0.92,3.293383333333333,3.9866239583333334,1.5932000000000002,2.9715000000000003
139776,P,PROP,0.92,3.2533666666666665,3.813133333333333,1.5042999999999997,2.4296999999999995
141312,P,PROP,0.92,3.3019777777777777,3.8176906249999996,1.5042999999999997,2.4296999999999995
142848,P,PROP,0.92,3.308459259259259,3.796727083333333,1.5042999999999997,2.4296999999999995
144384,P,PROP,0.92,3.3068388888888887,3.7839666666666663,1.5042999999999997,2.4296999999999995
145920,P,PROP,0.92,3.2922555555555557,3.7794093749999997,1.5042999999999997,2.4296999999999995
147456,P,PROP,0.92,3.26795,3.8040187499999996,1.5042999999999997,2.4296999999999995
148992,P,PROP,0.92,3.2339222222222217,3.8258937499999996,1.5042999999999997,2.4296999999999995
150528,P,PROP,0.92,3.2015148148148143,3.827716666666666,1.5042999999999997,2.4296999999999995
152064,P,PROP,0.92,3.154524074074074,3.830451041666666,1.5042999999999997,2.4296999999999995
