video_name,status,total_frames,i_frames,p_frames,b_frames,propagated_frames,tracking_data,motion_data,error,processing_time
Walking (91),SUCCESS,295,11,88,196,284,C:\Users\newuser\capstone_project\output\Walking (91)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (91)\motion\roi_motion_data.json,,12.98s
Walking (92),SUCCESS,302,11,90,201,291,C:\Users\newuser\capstone_project\output\Walking (92)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (92)\motion\roi_motion_data.json,,15.09s
Walking (93),SUCCESS,271,10,82,179,261,C:\Users\newuser\capstone_project\output\Walking (93)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (93)\motion\roi_motion_data.json,,6.82s
Walking (94),SUCCESS,265,9,80,176,256,C:\Users\newuser\capstone_project\output\Walking (94)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (94)\motion\roi_motion_data.json,,10.26s
Walking (95),SUCCESS,301,11,90,200,290,C:\Users\newuser\capstone_project\output\Walking (95)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (95)\motion\roi_motion_data.json,,10.31s
Walking (96),SUCCESS,304,11,91,202,293,C:\Users\newuser\capstone_project\output\Walking (96)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (96)\motion\roi_motion_data.json,,10.44s
Walking (97),SUCCESS,301,11,90,200,290,C:\Users\newuser\capstone_project\output\Walking (97)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (97)\motion\roi_motion_data.json,,10.48s
Walking (98),SUCCESS,280,10,84,186,270,C:\Users\newuser\capstone_project\output\Walking (98)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (98)\motion\roi_motion_data.json,,11.02s
Walking (99),SUCCESS,300,10,90,200,290,C:\Users\newuser\capstone_project\output\Walking (99)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (99)\motion\roi_motion_data.json,,11.88s
Walking (100),SUCCESS,296,11,88,197,285,C:\Users\newuser\capstone_project\output\Walking (100)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (100)\motion\roi_motion_data.json,,9.01s
Walking (101),SUCCESS,302,11,90,201,291,C:\Users\newuser\capstone_project\output\Walking (101)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (101)\motion\roi_motion_data.json,,9.12s
Walking (102),SUCCESS,301,11,90,200,290,C:\Users\newuser\capstone_project\output\Walking (102)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (102)\motion\roi_motion_data.json,,9.89s
Walking (103),SUCCESS,276,10,83,183,266,C:\Users\newuser\capstone_project\output\Walking (103)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (103)\motion\roi_motion_data.json,,8.67s
Walking (104),SUCCESS,271,10,81,180,261,C:\Users\newuser\capstone_project\output\Walking (104)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (104)\motion\roi_motion_data.json,,7.28s
Walking (105),SUCCESS,315,11,95,209,304,C:\Users\newuser\capstone_project\output\Walking (105)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (105)\motion\roi_motion_data.json,,8.08s
Walking (106),SUCCESS,303,11,90,202,292,C:\Users\newuser\capstone_project\output\Walking (106)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (106)\motion\roi_motion_data.json,,7.05s
